 ,  , Georgian ,  , {{t+|ka|აგრეთვე}} , {{t|ka|დამატებით}} , {{t+|ka|ასევე}} , {{t|ka|-ც}} , {{t+|ka|აგრეთვე}} , {{t|ka|დამატებით}} , {{t+|ka|ასევე}} , {{t|ka|-ც}}
 ,  , German ,  , {{t+|de|auch}} , {{t+|de|auch}}
 ,  ,  , AlemannicGerman , {{t|gsw|au}} , AlemannicGerman:{{t|gsw|au}}
 ,  , Gothic ,  , {{t|got|𐌾𐌰𐌷}} , {{t|got|𐌰𐌿𐌺}} , {{t|got|𐌾𐌰𐌷}} , {{t|got|𐌰𐌿𐌺}}
 ,  , Greek ,  , {{t+|el|επίσης}} , {{t+|el|επίσης}}
 ,  ,  , Ancient , {{t|grc|καί}} , Ancient:{{t|grc|καί}}
 ,  , Hebrew ,  , {{t+|he|גַּם|tr=gam}} , {{t+|he|גַּם|tr=gam}}
 ,  , Hindi ,  , {{t+|hi|भी}} , {{t+|hi|भी}}
 ,  , Hungarian ,  , {{t+|hu|szintén}} , {{t+|hu|is}} , {{t+|hu|ugyancsak}} , {{t+|hu|szintén}} , {{t+|hu|is}} , {{t+|hu|ugyancsak}}
 ,  , Icelandic ,  , {{t+|is|líka}} , {{t+|is|einnig}} , {{t+|is|líka}} , {{t+|is|einnig}}
 ,  , Ido ,  , {{t+|io|anke}} , {{t+|io|anke}}
 ,  , Indonesian ,  , {{t+|id|juga}} , {{t+|id|pula}} , {{t+|id|juga}} , {{t+|id|pula}}
 ,  , Interlingua ,  , {{t|ia|anque}} , {{t|ia|etiam}} , {{t|ia|tamben}} , {{t|ia|anque}} , {{t|ia|etiam}} , {{t|ia|tamben}}
 ,  , Irish ,  , {{t|ga|freisin}} , {{t|ga|chomhmaith}} , {{t+|ga|fosta}} , {{t|ga|leis}} , {{t|ga|freisin}} , {{t|ga|chomhmaith}} , {{t+|ga|fosta}} , {{t|ga|leis}}
 ,  , Istriot ,  , {{t|ist|anca}} , {{t|ist|anca}}
 ,  , Istro-Romanian ,  , {{t|ruo|anke}} , {{t|ruo|anke}}
 ,  , Italian ,  , {{t+|it|anche}} , {{t+|it|inoltre}} , {{t|it|inaggiunta}} , {{t+|it|altresì}} , {{t+|it|anche}} , {{t+|it|inoltre}} , {{t|it|inaggiunta}} , {{t+|it|altresì}}
 ,  , Japanese ,  , {{t+|ja|も|tr=mo}} , {{t+|ja|また|tr=mata}} , {{t+|ja|さらに|tr=sarani}} , {{t|ja|にも|tr=nimo}} , {{t+|ja|も|tr=mo}} , {{t+|ja|また|tr=mata}} , {{t+|ja|さらに|tr=sarani}} , {{t|ja|にも|tr=nimo}}
 ,  , Javanese ,  , {{t+|jv|uga}} , {{t+|jv|uga}}
 ,  , Kashubian ,  , {{t|csb|téż}} , {{t|csb|téż}}
 ,  , Kazakh ,  , {{t+|kk|да|sc=Cyrl}} , {{t|kk|де|sc=Cyrl}} , {{t|kk|сондай-ақ|sc=Cyrl}} , {{t+|kk|да|sc=Cyrl}} , {{t|kk|де|sc=Cyrl}} , {{t|kk|сондай-ақ|sc=Cyrl}}
 ,  , Khmer ,  , {{t+|km|ក៏|tr=kɑɑ|sc=Khmr}} , {{t+|km|ក៏|tr=kɑɑ|sc=Khmr}}
 ,  , Korean ,  , {{t+|ko|또한}} , {{t+|ko|또}} , {{t+|ko|역시}} , {{t+|ko|또한}} , {{t+|ko|또}} , {{t+|ko|역시}}
 ,  , Kyrgyz ,  , {{t+|ky|да|sc=Cyrl}} , {{t+|ky|дагы|sc=Cyrl}} , {{t+|ky|да|sc=Cyrl}} , {{t+|ky|дагы|sc=Cyrl}}
 ,  , Lao ,  , {{t|lo|ດ້ວຍ}} , {{t|lo|ກໍ}} , {{t|lo|ດອມ}} , {{t|lo|ດ້ວຍ}} , {{t|lo|ກໍ}} , {{t|lo|ດອມ}}
 ,  , Latgalian ,  , {{t|ltg|taipat}} , {{t|ltg|taipoš}} , {{t|ltg|taipat}} , {{t|ltg|taipoš}}
 ,  , Latin ,  , {{t+|la|quoque}} , {{t+|la|etiam}} , {{t+|la|quoque}} , {{t+|la|etiam}}
 ,  , Latvian ,  , {{t|lv|arī}} , {{t|lv|tāpat}} , {{t|lv|arī}} , {{t|lv|tāpat}}
 ,  , Limburgish ,  , {{t+|li|ouch}} , {{t|li|ooch}}{{qualifier|WesternLimburgish}} , {{t|li|ouk}}{{qualifier|Venlodialect}} , {{t+|li|ouch}} , {{t|li|ooch}}{{qualifier|WesternLimburgish}} , {{t|li|ouk}}{{qualifier|Venlodialect}}
 ,  , Lingala ,  , {{t|ln|lokóla}} , {{t|ln|mpé}} , {{t|ln|lokóla}} , {{t|ln|mpé}}
 ,  , Lithuanian ,  , {{t+|lt|taippat}} , {{t+|lt|taippat}}
 ,  , Lombard ,  , {{t+|lmo|anca}} , {{t+|lmo|anca}}
 ,  , LowGerman ,  ,  , 
 ,  ,  , GermanLowGerman , {{t+|nds-de|ok}}{{qualifier|NorthernGermany|SouthWestphalia}} , {{t+|nds-de|auk}}{{qualifier|Münsterland}} , {{t+|nds-de|ok}}{{qualifier|NorthernGermany|SouthWestphalia}} , {{t+|nds-de|auk}}{{qualifier|Münsterland}}
 ,  , Macedonian ,  , {{t|mk|и́стота́ка}} , {{t|mk|ка́кои}} , {{t|mk|и́стота́ка}} , {{t|mk|ка́кои}}
 ,  , Malay ,  , {{t|ms|juga}} , {{t|ms|juga}}
 ,  , Maltese ,  , {{t|mt|ukoll}} , {{t|mt|anke}} , {{t|mt|ukoll}} , {{t|mt|anke}}
 ,  , Maori ,  , {{t|mi|hoki}} , {{t|mi|hoki}}
 ,  , Meänkieli ,  , {{t|fit|kansa}} , {{t|fit|kansa}}
